2015-01-01 13:46:57	3.5c
2015-01-02 00:41:29	0.8c
2015-01-03 05:07:45	1.2c
2015-01-04 19:12:50	4.5c
2015-01-05 08:59:53	3.2c
2015-01-06 17:29:52	5.9c
2015-01-07 17:47:45	5.0c
2015-01-08 19:05:36	6.3c
2015-01-09 06:13:43	3.1c
2015-01-10 11:05:11	1.6c
2015-01-11 14:30:10	1.2c
2015-01-12 04:47:31	2.4c
2015-01-13 10:40:49	1.7c
2015-01-14 13:04:48	2.4c
2015-01-15 08:51:00	7.0c
2015-01-16 20:37:53	4.3c
2015-01-17 23:26:43	7.3c
2015-01-18 06:44:15	3.2c
2015-01-19 12:03:50	3.5c
2015-01-20 19:39:07	2.6c
2015-01-21 04:57:33	3.7c
2015-01-22 20:49:58	13.2c
2015-01-23 07:36:15	9.7c
2015-01-24 21:10:06	3.8c
2015-01-25 04:52:33	6.3c
2015-01-26 18:27:56	7.6c
2015-01-27 03:38:10	7.1c
2015-01-28 11:36:40	3.8c
2015-01-29 18:31:37	0.3c
2015-01-30 21:25:13	3.8c
2015-01-31 03:40:23	3.1c
2015-02-01 12:44:29	4.6c
2015-02-02 06:44:45	4.2c
2015-02-03 16:36:19	7.3c
2015-02-04 12:09:36	1.6c
2015-02-05 06:31:05	9.3c
2015-02-06 09:37:28	8.9c
2015-02-07 21:16:40	8.7c
2015-02-08 14:04:32	2.6c
2015-02-09 07:28:06	4.4c
2015-02-10 09:24:16	0.1c
2015-02-11 13:40:53	0.4c
2015-02-12 16:48:48	1.4c
2015-02-13 12:32:56	11.3c
2015-02-14 14:47:23	1.2c
2015-02-15 12:49:00	4.7c
2015-02-16 12:26:16	6.4c
2015-02-17 22:45:19	4.1c
2015-02-18 21:11:38	6.2c
2015-02-19 00:18:21	11.0c
2015-02-20 06:21:34	5.0c
2015-02-21 19:27:47	2.9c
2015-02-22 23:19:17	5.8c
2015-02-23 15:58:32	2.9c
2015-02-24 17:59:28	5.3c
2015-02-25 05:34:00	11.2c
2015-02-26 13:50:27	6.5c
2015-02-27 15:14:45	2.2c
2015-02-28 21:07:32	-0.5c
2015-03-01 22:32:14	11.7c
2015-03-02 19:03:04	11.4c
2015-03-03 02:03:17	4.5c
2015-03-04 08:50:20	5.8c
2015-03-05 02:40:01	10.4c
2015-03-06 14:50:50	18.8c
2015-03-07 14:01:43	5.3c
2015-03-08 01:12:22	6.5c
